Tên sách,Tác giả,Đánh giá
"The Good Earth (House of Earth, #1)",Pearl S. Buck,"really liked it4.00 avg rating — 252,206 ratings"
The Namesake,Jhumpa Lahiri,"4.02 avg rating — 273,265 ratings"
Beloved,Toni Morrison,"3.96 avg rating — 446,980 ratings"
"Outlander (Outlander, #1)",Diana Gabaldon,"4.26 avg rating — 1,078,667 ratings"
"Breaking Dawn (The Twilight Saga, #4)",Stephenie Meyer,"3.26 avg rating — 926,694 ratings"
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"3.54 avg rating — 602,084 ratings"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"4.62 avg rating — 3,793,175 ratings"
"The Host (The Host, #1)",Stephenie Meyer,"3.86 avg rating — 1,016,849 ratings"
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,"4.38 avg rating — 955,442 ratings"
Little Bee,Chris Cleave,"3.72 avg rating — 244,080 ratings"
Taming Flame,Therisa Peimer,"4.30 avg rating — 16,036 ratings"
The Boy in the Striped Pajamas,John Boyne,"4.16 avg rating — 857,608 ratings"
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",Alexander McCall Smith,"3.81 avg rating — 267,822 ratings"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,"4.15 avg rating — 635,953 ratings"
The Five People You Meet in Heaven,Mitch Albom,"3.99 avg rating — 734,994 ratings"
Midwives,Chris Bohjalian,"3.99 avg rating — 160,653 ratings"
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 513,906 ratings"
"The Da Vinci Code (Robert Langdon, #2)",Dan       Brown,"3.92 avg rating — 2,386,329 ratings"
Loving Frank,Nancy Horan,"3.77 avg rating — 99,562 ratings"
One Flew Over the Cuckoo’s Nest,Ken Kesey,"4.20 avg rating — 742,467 ratings"
We Need to Talk About Kevin,Lionel Shriver,"4.08 avg rating — 198,754 ratings"
Atlas Shrugged,Ayn Rand,"3.69 avg rating — 393,719 ratings"
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,"4.47 avg rating — 1,297 ratings"
Year of Wonders,Geraldine Brooks,"4.01 avg rating — 165,393 ratings"
Peace Like a River,Leif Enger,"4.01 avg rating — 92,728 ratings"
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"4.01 avg rating — 860,912 ratings"
